 * Serving Flask app 'server'
 * Debug mode: on
{'trackingId': '2595480760248958979', 'method': 'GET', 'opIndex': 1, 'path': '/tools.descartes.teastore.persistence/rest/categories', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958979', 'method': 'POST', 'opIndex': 2, 'path': '/tools.descartes.teastore.image/rest/image/getWebImages', 'requestIp': '172.18.0.4', 'host': '172.18.0.2', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958979', 'method': 'POST', 'opIndex': 3, 'path': '/tools.descartes.teastore.auth/rest/useractions/isloggedin', 'requestIp': '172.18.0.4', 'host': '172.18.0.3', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958979', 'method': 'GET', 'opIndex': 0, 'path': '/tools.descartes.teastore.webui/login', 'requestIp': '192.168.65.1', 'host': '172.18.0.4', 'parentSenderId': '-1', 'currSenderId': '0'}
{'trackingId': '2595480760248958980', 'method': 'GET', 'opIndex': 1, 'path': '/tools.descartes.teastore.persistence/rest/categories/2', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958980', 'method': 'GET', 'opIndex': 2, 'path': '/tools.descartes.teastore.persistence/rest/products/count/2', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958980', 'method': 'GET', 'opIndex': 3, 'path': '/tools.descartes.teastore.persistence/rest/products/category/2', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958980', 'method': 'POST', 'opIndex': 4, 'path': '/tools.descartes.teastore.image/rest/image/getProductImages', 'requestIp': '172.18.0.4', 'host': '172.18.0.2', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958980', 'method': 'POST', 'opIndex': 5, 'path': '/tools.descartes.teastore.image/rest/image/getWebImages', 'requestIp': '172.18.0.4', 'host': '172.18.0.2', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958980', 'method': 'GET', 'opIndex': 6, 'path': '/tools.descartes.teastore.persistence/rest/categories', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958980', 'method': 'POST', 'opIndex': 7, 'path': '/tools.descartes.teastore.auth/rest/useractions/isloggedin', 'requestIp': '172.18.0.4', 'host': '172.18.0.3', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958980', 'method': 'GET', 'opIndex': 0, 'path': '/tools.descartes.teastore.webui/category', 'requestIp': '192.168.65.1', 'host': '172.18.0.4', 'parentSenderId': '-1', 'currSenderId': '0'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 1, 'path': '/tools.descartes.teastore.persistence/rest/categories', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'POST', 'opIndex': 2, 'path': '/tools.descartes.teastore.auth/rest/useractions/isloggedin', 'requestIp': '172.18.0.4', 'host': '172.18.0.3', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 3, 'path': '/tools.descartes.teastore.persistence/rest/products/7', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'POST', 'opIndex': 4, 'path': '/tools.descartes.teastore.recommender/rest/recommend', 'requestIp': '172.18.0.4', 'host': '172.18.0.5', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 5, 'path': '/tools.descartes.teastore.persistence/rest/products/340', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 6, 'path': '/tools.descartes.teastore.persistence/rest/products/46', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 7, 'path': '/tools.descartes.teastore.persistence/rest/products/58', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 8, 'path': '/tools.descartes.teastore.persistence/rest/products/472', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 9, 'path': '/tools.descartes.teastore.persistence/rest/products/22', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 10, 'path': '/tools.descartes.teastore.persistence/rest/products/156', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 11, 'path': '/tools.descartes.teastore.persistence/rest/products/194', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 12, 'path': '/tools.descartes.teastore.persistence/rest/products/177', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 13, 'path': '/tools.descartes.teastore.persistence/rest/products/324', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 14, 'path': '/tools.descartes.teastore.persistence/rest/products/402', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'POST', 'opIndex': 15, 'path': '/tools.descartes.teastore.image/rest/image/getProductImages', 'requestIp': '172.18.0.4', 'host': '172.18.0.2', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'POST', 'opIndex': 16, 'path': '/tools.descartes.teastore.image/rest/image/getProductImages', 'requestIp': '172.18.0.4', 'host': '172.18.0.2', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'POST', 'opIndex': 17, 'path': '/tools.descartes.teastore.image/rest/image/getWebImages', 'requestIp': '172.18.0.4', 'host': '172.18.0.2', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958981', 'method': 'GET', 'opIndex': 0, 'path': '/tools.descartes.teastore.webui/product', 'requestIp': '192.168.65.1', 'host': '172.18.0.4', 'parentSenderId': '-1', 'currSenderId': '0'}
{'trackingId': '2595480760248958982', 'method': 'GET', 'opIndex': 2, 'path': '/tools.descartes.teastore.persistence/rest/products/7', 'requestIp': '172.18.0.3', 'host': '172.18.0.7', 'parentSenderId': '1', 'currSenderId': '2'}
{'trackingId': '2595480760248958982', 'method': 'POST', 'opIndex': 1, 'path': '/tools.descartes.teastore.auth/rest/cart/add/7', 'requestIp': '172.18.0.4', 'host': '172.18.0.3', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958982', 'method': 'POST', 'opIndex': 0, 'path': '/tools.descartes.teastore.webui/cartAction', 'requestIp': '192.168.65.1', 'host': '172.18.0.4', 'parentSenderId': '-1', 'currSenderId': '0'}
{'trackingId': '2595480760248958983', 'method': 'GET', 'opIndex': 1, 'path': '/tools.descartes.teastore.persistence/rest/products/11', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958983', 'method': 'GET', 'opIndex': 2, 'path': '/tools.descartes.teastore.persistence/rest/products/7', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958983', 'method': 'POST', 'opIndex': 3, 'path': '/tools.descartes.teastore.image/rest/image/getWebImages', 'requestIp': '172.18.0.4', 'host': '172.18.0.2', 'parentSenderId': '0', 'currSenderId': '1'}
{'trackingId': '2595480760248958983', 'method': 'GET', 'opIndex': 4, 'path': '/tools.descartes.teastore.persistence/rest/categories', 'requestIp': '172.18.0.4', 'host': '172.18.0.7', 'parentSenderId': '0', 'currSenderId': '1'}
